demo[ZCTA5],[Blancos],[Negros],[Asiaticos],[Mexicanos],[Latinos],[Otros - no hispanos]
76366,0.902173913,0,0.007905138,0.020750988,0.020750988,0.002964427
25846,0.728937729,0.271062271,0,0,0,0
83525,0.933823529,0,0,0,0,0.009803922
76263,1,0,0,0,0,0
83443,0.896877956,0,0,0,0,0.025543992
71639,0.387461459,0.555327167,0.002398082,0.001541624,0.001541624,0.007536828
25848,1,0,0,0,0,0
71999,0.634210526,0.307894737,0.005263158,0,0,0.035526316
82421,0.983050847,0,0.008474576,0.008474576,0.008474576,0
71631,0.649667406,0.33481153,0,0,0,0
46938,0.952472089,0.002232855,0.001594896,0,0,0.035406699
25510,0.977869986,0,0.003161431,0.008298755,0.008298755,0.010669828
36523,0.941693291,0.028753994,0,0.006389776,0.006389776,0.003194888
14727,0.964376095,0.001167997,0.00506132,0.008370644,0.008370644,0.018298618
14170,0.967608286,0,0,0.026365348,0.026365348,0.006026365
39061,,,,,,
38855,0.956337714,0.021162843,0,0,0,0.022499443
38838,1,0,0,0,0,0
75861,0.373370577,0.41038175,0.006634078,0.018389199,0.018389199,0.001047486
21403,0.625302624,0.158313158,0.017077799,0.122947065,0.122947065,0.020971014
36910,0.43902439,0.56097561,0,0,0,0
60456,0.895463965,0.003684089,0.000230256,0.002302556,0.002302556,0.032005526
25106,1,0,0,0,0,0
36732,0.418467819,0.55943804,0.004923151,0.00684438,0.00684438,0
82055,0.835227273,0,0,0,0,0
25148,0.982261641,0,0,0,0,0.017738359
39083,0.270441537,0.688470973,0.0079722,0.004599346,0.004599346,0.008994276
60144,0.6875,0,0.3125,0,0,0
75420,0.834586466,0,0,0.009667025,0.009667025,0.035445757
25121,1,0,0,0,0,0
71260,0.667714555,0.310279786,0,0.003458032,0.003458032,0.002200566
57562,1,0,0,0,0,0
14711,0.947316593,0,0.005908419,0.025110783,0.025110783,0.019202363
39113,0.108792846,0.87928465,0,0,0,0
36871,0.551860649,0.343626287,0,0.064924782,0.064924782,0
60176,0.637602641,0.009650385,0.032760518,0.096842462,0.096842462,0.028951156
25871,0.816291161,0.183708839,0,0,0,0
76372,0.938857603,0,0.003218021,0,0,0
71468,0.917153996,0,0,0.018518519,0.018518519,0.064327485
61602,0.583175803,0.224952741,0.074669187,0.036862004,0.036862004,0.051984877
35013,0,0,0,0,0,0
36922,0.295165394,0.68956743,0.015267176,0,0,0
71998,0.692810458,0.239651416,0.019607843,0.019607843,0.019607843,0.013071895
47574,1,0,0,0,0,0
20132,0.838785448,0.02308794,0.036321971,0.067144085,0.067144085,0.021712976
82422,1,0,0,0,0,0
20187,0.869536894,0.071005567,0.010718939,0.028958901,0.028958901,0.015160488
61486,0.951971326,0,0,0.007885305,0.007885305,0.017921147
21758,0.822954304,0.072688629,0.004250797,0.024442083,0.024442083,0.045696068
36435,0.064788732,0.935211268,0,0,0,0
36444,0.63164557,0.36835443,0,0,0,0
14169,1,0,0,0,0,0
25875,1,0,0,0,0,0
45251,0.675627004,0.228225063,0.017701059,0.005797865,0.005797865,0.056046032
72001,0.981481481,0,0,0,0,0.018518519
36310,0.622554306,0.341703898,0,0.003389308,0.003389308,0.012786936
38852,0.949400799,0.024300932,0.001997337,0.006990679,0.006990679,0.013870395
14743,0.945929887,0.037433155,0,0.005941771,0.005941771,0.010695187
45658,0.905077263,0.064385578,0.01066961,0,0,0.008094187
82412,0.957024793,0,0,0,0,0.008264463
82224,1,0,0,0,0,0
57233,0.961783439,0,0,0,0,0.038216561
76268,0.978813559,0,0,0,0,0.021186441
76373,0.930555556,0,0,0,0,0
83444,0.581132075,0.002830189,0.008490566,0.000943396,0.000943396,0.01509434
14167,0.963615691,0.026719727,0.00113701,0.003411029,0.003411029,0
14722,0.826771654,0.062992126,0.010498688,0.020997375,0.020997375,0.070866142
39332,0.767965895,0.232034105,0,0,0,0
60072,0.903664921,0.014659686,0.036649215,0.016753927,0.016753927,0.005235602
60145,0.897186872,0.00703282,0,0.002009377,0.002009377,0.037508372
75948,0.844488189,0.048884514,0.002624672,0.001312336,0.001312336,0.039206037
25849,0.951253482,0,0,0,0,0.048746518
25123,0.954450729,0,0,0.006549568,0.006549568,0.019350997
60457,0.815196998,0.035935921,0.009380863,0.031461971,0.031461971,0.01046327
61564,0.993383743,0,0.004725898,0.001890359,0.001890359,0
71261,0.686844229,0.292978208,0,0,0,0.002421308
76270,0.896533333,0,0,0,0,0
14728,0.988197425,0,0,0,0,0.011802575
25870,1,0,0,0,0,0
39062,0.73359841,0.264413519,0,0,0,0.001988072
22125,0.728275862,0.122758621,0.03862069,0.052413793,0.052413793,0.057931034
14113,0.982142857,0,0,0,0,0
84006,0.861283644,0,0,0,0,0.026915114
71647,0.61975435,0.250255885,0,0,0,0.006141249
22027,0.557575758,0.048917749,0.294372294,0.080519481,0.080519481,0.010822511
60465,0.804722617,0.052347084,0.026230441,0.02742532,0.02742532,0.019345661
21717,1,0,0,0,0,0
14080,0.978347847,0.000235349,0.002588844,0,0,0.013179572
84031,0.982578397,0,0,0.010452962,0.010452962,0.006968641
82060,1,0,0,0,0,0
57245,0.962616822,0,0,0,0,0
36913,1,0,0,0,0,0
21543,1,0,0,0,0,0
75853,0.746594005,0.192098093,0,0.039509537,0.039509537,0
21620,0.765833268,0.186607777,0.014512186,0.019559902,0.019559902,0.010726398
25108,0.930783242,0,0,0,0,0.069216758
25501,0.982076176,0,0,0,0,0.017923824
25115,1,0,0,0,0,0
36280,0.917522985,0.027582477,0,0.000270416,0.000270416,0.045700379
25142,1,0,0,0,0,0
83337,1,0,0,0,0,0
75125,0.479662698,0.100363757,0,0.029431217,0.029431217,0.010416667
14712,0.987293144,0.010638298,0,0.002068558,0.002068558,0
71663,0.619372442,0.233287858,0,0,0,0
75426,0.531881804,0.358475894,0,0.001166407,0.001166407,0.008359253
60162,0.238694696,0.416401858,0.010388658,0.054876558,0.054876558,0.015521877
25107,0.970976253,0,0,0,0,0.029023747
34996,0.889120391,0.015128182,0.002898813,0.065223299,0.065223299,0.011414077
83460,0.826771654,0.039370079,0.018372703,0.044619423,0.044619423,0.041994751
39328,0.303909206,0.655947877,0,0,0,0.0098781
82420,0.972644377,0,0,0,0,0.017223911
25559,1,0,0,0,0,0
47525,1,0,0,0,0,0
82058,1,0,0,0,0,0
20782,0.144448581,0.403848907,0.029009995,0.361751482,0.361751482,0.018729059
25521,1,0,0,0,0,0
57246,1,0,0,0,0,0
25537,0.985602094,0.005235602,0,0,0,0.009162304
25902,1,0,0,0,0,0
