demo[ZCTA5],[Mexicanos],[Negros],[Blancos],[Latinos],[Asiaticos],[Otros - no hispanos]
84735,13,0,236,0,0,0
82642,0,0,74,0,0,0
84730,2,0,223,0,14,0
30332,70,483,1587,179,859,192
15044,135,155,26561,300,647,218
15055,5,0,1004,0,76,14
82715,0,0,0,0,0,0
44149,54,231,17168,206,661,393
15047,0,0,76,0,0,6
64469,14,9,2139,46,0,23
84742,7,0,219,18,0,3
13636,9,1,278,3,2,0
15050,0,1,2462,0,0,87
43565,28,2,388,7,1,8
31097,0,295,1194,0,0,12
64476,0,0,358,0,0,0
60622,6750,3928,32889,7236,2180,1484
64475,2,4,360,6,0,4
60623,54115,27815,1876,3526,182,623
13623,0,0,22,0,0,0
64466,0,0,459,1,0,3
35564,6,0,2023,14,2,33
82648,0,0,0,0,0,0
30334,0,0,0,0,0,0
84737,875,20,14184,494,189,751
82639,56,0,663,0,0,43
82644,103,0,1515,0,1,31
31207,0,284,677,13,43,58
44203,452,1994,37196,202,218,884
13634,0,10,4580,66,0,19
15042,9,86,8279,45,27,71
61075,37,0,999,0,5,3
61074,235,139,3860,19,37,24
54449,431,147,24349,206,656,258
13638,0,0,295,0,6,0
15053,0,0,164,0,0,0
44147,29,809,16291,486,1159,551
44202,262,958,17631,36,797,337
13640,0,0,435,0,0,0
82712,0,0,384,72,0,0
84739,10,0,420,3,20,47
53548,738,263,15848,135,409,795
82710,0,0,249,19,0,6
54450,130,0,372,0,0,0
13639,0,0,201,0,0,0
43570,161,5,2581,6,40,20
64468,203,550,14612,69,280,207
82714,0,0,163,0,0,0
53546,1621,344,27686,344,401,1074
84726,25,20,649,14,0,36
15043,5,0,1876,88,46,89
84734,8,1,106,0,0,16
31201,7,5825,2699,115,92,36
31206,982,21942,4825,245,329,579
53549,731,134,8905,281,47,115
15045,0,58,4255,33,11,87
13641,0,0,59,0,0,0
54447,0,0,474,0,0,2
82643,13,0,583,9,0,0
43569,375,23,2345,148,5,57
15049,0,0,852,0,0,7
15056,5,51,918,150,15,75
53553,3,0,548,0,0,0
36003,2,1053,692,13,0,3
13633,0,0,331,0,0,3
43560,664,777,29121,167,1044,710
65550,22,27,2963,3,9,104
65541,0,0,143,29,0,0
84741,136,16,5350,116,4,236
65548,45,0,5107,0,27,190
65552,23,0,1916,0,0,89
84723,61,0,871,0,0,5
13637,439,855,2258,440,180,191
61073,415,235,17999,120,463,202
30336,7,456,39,8,4,8
84729,10,0,201,0,0,4
30339,1291,4295,11777,760,2917,616
31098,80,965,1809,142,64,379
65542,106,386,5598,31,2,241
15051,0,22,353,0,0,0
31213,0,0,0,0,0,0
53551,371,97,7609,108,62,96
84731,64,0,163,0,0,0
15052,8,31,3334,24,6,43
35555,46,1861,7437,89,33,229
54452,143,79,18026,32,78,286
13622,14,6,2564,39,7,51
13635,1,3,1031,10,8,32
84736,13,0,181,0,2,0
82711,0,0,148,0,0,0
43566,79,156,7275,103,231,163
61077,0,0,40,0,0,0
64473,6,17,1388,0,4,24
54448,74,0,3899,3,51,49
65535,0,0,1845,5,0,2
30340,7647,5387,6971,5088,3397,656
53550,43,0,1064,9,0,7
64471,2,0,400,0,0,0
31211,224,8364,6586,225,164,240
44145,322,654,28315,726,1665,726
35565,402,18,12437,164,5,140
31210,358,9999,21129,645,1258,498
13642,26,512,8976,329,15,64
61078,5,0,1185,77,18,15
13626,33,66,2044,26,7,56
13625,1,22,1945,11,15,16
84728,0,0,36,0,0,0
30331,935,60178,729,713,97,844
30337,540,10557,1944,219,41,130
44146,195,17026,10298,587,366,859
84740,9,0,180,0,0,0
54446,69,5,3065,12,0,43
35990,0,0,164,0,0,0
13630,6,5,1513,3,0,20
44201,50,19,6665,119,0,92
60625,16082,3265,34390,11236,11201,2983
54451,61,51,11281,59,25,137
84724,137,0,908,21,0,30
13621,0,0,454,8,0,0
84732,0,0,31,0,0,0
84725,46,0,1646,16,0,52
64470,0,0,1594,0,3,59
53545,1203,341,20235,266,205,516
82640,0,0,48,0,0,0
84733,0,0,173,0,0,0
64477,79,123,3142,78,0,95
82646,0,0,0,0,0,0
35989,401,41,2893,22,11,130
82638,0,0,0,0,0,0
82649,79,10,873,35,0,66
13624,9,475,4975,247,3,55
15046,0,74,2444,15,10,64
31216,672,3753,11082,354,217,293
30338,539,3900,23256,1057,4973,686
60624,1067,35468,857,325,53,364
53554,85,8,1214,0,0,12
64467,0,0,189,0,0,0
84738,391,40,7255,8,0,174
65543,0,0,288,0,0,0
43567,1415,50,11006,226,51,255
82701,38,18,4956,17,361,35
44144,228,1456,15075,3408,867,521
35559,0,0,18,0,0,0
64474,2,0,781,0,2,30
13628,0,0,227,5,0,2
35563,15,256,4476,35,0,89
15054,0,0,398,0,0,0
65536,460,133,27841,163,104,891
31204,356,18828,9429,225,240,376
64433,0,4,213,12,0,20
15057,117,118,14384,43,670,153
53501,0,0,183,0,0,0
44274,0,2,348,0,0,1
13409,0,0,2279,51,1,116
36028,0,197,1592,6,0,16
85054,341,53,5305,231,179,281
64167,0,0,377,0,0,0
54487,125,21,9324,38,9,156
65616,1411,348,22443,457,269,776
15201,133,2947,8792,171,225,537
82225,49,3,1876,37,13,140
61115,811,611,20196,312,355,625
13408,7,438,3256,257,69,69
85083,1278,446,14844,594,1787,494
30289,0,22,37,0,0,0
31512,124,162,2089,20,0,49
43526,399,4,5213,7,11,42
64166,0,0,245,0,0,0
53406,1672,2318,20075,457,862,865
44275,30,0,3097,184,0,15
85085,1966,669,14637,529,2071,817
13407,6,44,4941,109,0,55
65617,3,7,1736,0,0,9
15202,45,1505,17050,106,128,520
82227,16,0,165,0,0,0
31510,712,1735,7215,69,42,189
15148,29,571,1895,19,0,137
35481,32,1165,2361,0,0,53
82242,0,0,42,0,0,0
31501,224,7282,7074,46,320,448
13413,1,345,14867,267,589,301
64401,27,13,1629,0,2,72
85050,3327,422,22858,859,2388,861
15146,223,3785,21378,388,1545,919
53502,38,30,2300,8,14,89
30291,1282,18167,2172,252,20,206
61114,517,1038,12303,152,567,386
82240,1194,20,8625,152,32,329
54486,6,11,2193,0,2,80
85086,2616,514,34731,1344,1326,1002
65614,3,0,664,0,0,4
13411,12,0,3291,26,17,7
85051,15848,2649,18409,1802,1801,1714
15147,54,3573,12978,137,47,797
31503,848,3154,15966,172,69,186
82229,0,0,9,0,0,0
64192,0,0,0,0,0,0
43527,259,6,1618,46,7,22
13410,0,0,207,0,0,2
85053,5620,1142,18297,1029,1221,1095
30290,222,2245,5443,455,164,205
60607,1732,3928,15022,685,5992,1018
44273,106,50,6961,23,19,36
85048,3229,1430,25761,1458,2234,1509
13406,0,0,709,4,4,13
64165,0,0,114,0,0,0
85120,4125,316,23739,218,152,1217
64163,40,39,438,3,85,18
65619,330,129,6327,38,40,327
15205,152,2010,18334,287,898,734
13368,0,16,1201,19,0,23
31518,128,21,594,0,0,0
82219,0,0,16,0,0,0
85121,107,0,142,0,58,1846
43524,102,0,1032,13,0,8
15206,267,11277,14185,684,1614,927
35477,0,210,0,0,0,0
54490,38,0,788,7,0,2
13367,80,81,8156,104,82,106
30285,0,25,394,0,0,6
53403,5521,6578,13065,495,113,479
44280,18,0,4169,262,0,21
85122,22696,2415,25001,1450,866,2513
82217,0,0,17,0,0,0
64161,24,0,272,13,2,1
15207,87,2516,8955,529,266,230
65620,0,0,274,0,0,0
61230,19,0,1199,6,8,16
31519,312,417,2269,78,15,3
30286,609,6680,15505,0,131,156
82221,26,0,658,12,0,14
44278,32,618,16430,97,166,521
53404,4430,3958,5485,679,122,864
54488,44,2,1122,9,0,16
31513,1573,2888,11331,89,149,294
35480,0,276,961,0,0,0
85087,744,71,7054,53,292,137
30288,773,7169,760,310,76,173
65618,0,0,306,0,0,0
13404,0,0,177,0,0,6
82223,18,0,1334,0,0,17
15203,43,433,9013,172,192,162
53405,3169,3536,16408,867,324,862
60606,108,72,2219,0,510,102
82224,0,0,22,0,0,0
44276,5,11,1875,0,0,46
43525,57,0,1350,0,0,15
85118,396,39,10675,164,202,96
64164,0,0,261,0,0,0
13403,127,1102,5174,655,28,244
31516,262,1301,12440,210,49,403
61201,3283,7703,24625,607,953,1573
82222,0,0,103,0,0,0
15204,0,3717,4074,76,199,488
85119,1902,211,17894,229,489,546
13402,0,2,1642,13,4,15
54489,1,11,1561,0,0,54
36029,0,640,339,0,0,115
13365,22,61,8273,196,48,115
65613,301,228,16440,184,12,448
15145,61,1310,5401,134,13,231
61109,4475,3273,17283,675,1059,692
13431,0,7,1712,49,0,106
15136,200,3134,17523,123,356,783
85033,49128,3099,7993,2586,360,1262
65609,0,0,668,0,0,0
31409,65,55,465,58,26,23
54481,587,269,26297,393,1145,698
35503,49,61,8215,0,31,218
43532,91,32,3865,144,6,39
53507,32,48,2069,36,9,48
30295,51,511,3558,2,6,72
85034,3005,393,607,101,49,167
82324,0,0,236,6,0,0
13428,37,5,1792,10,39,6
15137,0,2029,7701,36,37,184
65610,125,55,5593,5,22,105
64423,0,18,760,6,7,17
44265,0,0,0,0,0,0
82323,7,0,81,4,0,0
85035,45567,2801,3922,2642,356,2182
31410,548,540,20178,645,1448,418
13425,53,12,2221,7,0,13
30294,1044,34136,3064,913,679,481
44264,0,151,2639,31,20,178
82325,5,0,910,0,0,23
64424,125,66,4250,37,0,89
85032,17449,2093,44542,2452,2715,2706
82331,53,0,2329,19,6,119
36025,487,3298,3063,141,8,113
53510,40,15,1420,4,18,58
85028,1640,291,16222,386,427,642
35504,222,322,11746,58,155,162
15133,23,138,5949,86,26,92
31407,35,4831,5483,788,210,484
13436,0,0,95,0,0,0
44262,0,52,4757,22,216,0
85029,11647,2634,26656,1923,1175,1478
82329,6,0,321,24,0,4
53506,0,10,998,6,0,17
43533,24,0,1560,0,0,12
65608,74,8,9114,102,2,83
30296,1504,23463,1494,361,995,441
64426,1,0,306,0,0,1
13435,0,0,267,1,1,1
85031,23715,1549,4037,793,165,746
82327,64,9,682,14,0,81
15135,18,41,5109,34,0,27
60610,580,5767,27218,1587,2514,772
31408,1222,5479,3396,370,130,132
53508,117,22,5286,73,27,72
13433,0,9,1955,7,0,32
54480,46,0,1283,0,10,24
13415,0,0,73,15,0,0
15139,28,52,6149,33,150,8
54482,193,149,8555,9,107,141
15143,39,588,17455,170,1311,494
64420,0,0,70,0,0,0
44270,0,68,8387,8,0,170
53504,9,0,2051,5,0,13
85043,25939,2703,3976,1340,569,1650
61112,0,0,95,0,0,0
13417,0,19,3208,0,30,84
82244,2,0,467,0,0,2
30292,19,515,5911,60,2,44
85044,5493,2223,25650,1774,1827,2607
15144,0,5,4041,53,6,19
31419,2416,20818,28730,2581,2137,1958
60608,37382,13510,13611,4204,8331,1034
64402,10,60,2642,0,19,15
13416,13,25,2220,5,0,57
44272,23,32,4911,15,21,60
53503,7,11,1831,8,11,53
35490,8,177,3814,65,0,124
82243,0,0,116,0,0,0
54485,3,0,372,0,0,4
43528,516,1801,12511,233,481,590
36027,685,7801,7084,175,117,297
85045,601,341,5428,247,622,226
43529,70,7,231,6,1,10
82301,1724,175,6542,605,28,217
54484,69,20,4869,0,4,52
13418,0,0,334,0,0,5
36026,0,49,913,0,0,0
85037,29349,4422,10947,2288,1380,1316
